facility_id,facility_name,sitrep,version,report_date,text_source,event,event_date,beds,status_note,evidence_quote,confidence,facility_raw
cte-bunia,CTE Bunia (HGR),32,1,2026-06-15,pdf_text,operating,,,12 tents already functional while works finish,CTE/HGR Bunia (12 tentes sont déjà fonctionnelles,high,CTE/HGR Bunia
cte-bunia,CTE Bunia (HGR),32,1,2026-06-15,pdf_text,expanded,,,Construction of a new building continues,construction d’un nouveau bâtiment CTE/HGR Bunia,high,CTE/HGR Bunia
cte-elikya,CTE Elikya,32,1,2026-06-15,pdf_text,mention_only,,,Visited by the INSP director general to assess case management,au centre de traitement Elikya,high,centre de traitement Elikya
cte-nyankunde,CTE Nyankunde (HGR),32,1,2026-06-15,pdf_text,under_construction,,,Fitting-out works at the facility being followed up,Poursuite du suivi des travaux d’aménagements dans le CTE HGR Nyankunde,high,CTE HGR Nyankunde
cte-bunia,CTE Bunia (HGR),33,1,2026-06-16,pdf_text,operating,,,Medicines delivered with ALIMA and IMC support,Livraison des médicaments au CTE/HGR Bunia appui d’ALIMA et IMC,high,CTE/HGR Bunia
cte-cme-bunia,CTE CME Bunia,33,1,2026-06-16,pdf_text,mention_only,,,Supervision of the facility as a storage site for medicines and IPC supplies,du CTE CME Bunia (lieu de stockage des médicaments et intrants PCI),high,CTE CME
cte-istm,CTE ISTM,33,1,2026-06-16,pdf_text,opened,,,The facility was made operational,Opérationnalisation du CTE IST Nyankunde,high,CTE IST
cte-rwampara,CTE Rwampara (HGR),33,1,2026-06-16,pdf_text,operating,,,Motorcade for the discharge of 7 recovered patients,le déchargement de 7 guéris et sensibiliser sur l'efficacité de la prise en charge dans le CTE Rwampara,high,CTE Rwampara
cte-matanda,CTE Matanda,34,1,2026-06-17,pdf_text,under_construction,,,Under construction by IMC while 40 staff are trained,de 40 prestataires du CTE MATANDA en cours de construction par l’IMC,high,CTE MATANDA
cte-cme-bunia,CTE CME Bunia,35,1,2026-06-18,pdf_text,operating,,,Dignity kits and IPC supplies delivered,kits dignités et intrants PCI au CTE CME Bunia,high,CTE CME
cte-nyankunde,CTE Nyankunde (HGR),35,1,2026-06-18,pdf_text,operating,,,Dignity kits and IPC supplies delivered,"CTE CME Bunia, CTE HGR Nyankunde, CSR Shari",high,CTE HGR Nyankunde
cte-bunia,CTE Bunia (HGR),36,1,2026-06-19,pdf_text,operating,,,IPC supplies and essential medicines delivered,ainsi qu’au CTE HGR Bunia,high,CTE HGR Bunia
cte-cme-bunia,CTE CME Bunia,36,1,2026-06-19,pdf_text,operating,,,IPC supplies and essential medicines delivered,CTE CME Bunia et au CSR SOTA/ZS Nyankunde,high,CTE CME
cte-elikya,CTE Elikya,36,1,2026-06-19,pdf_text,operating,,,Safe and dignified burials performed at the facility,réalisation de 8 EDS au CTE/CME et CTE Elikya,high,CTE Elikya
cte-cme-bunia,CTE CME Bunia,37,1,2026-06-20,pdf_text,operating,,,Safe and dignified burials performed at the facility; five new admissions investigated,appui à l’EDS au CTE-CME,high,CTE-CME
cte-elikya,CTE Elikya,37,1,2026-06-20,pdf_text,operating,,,IPC supplies and medicines delivered,"CTE Mongbwalu, CTE Elikya, CTE CME Bunia",high,CTE Elikya
cte-lwiro,CTE Lwiro,37,1,2026-06-20,pdf_text,operating,,,Official discharge ceremony for two recovered patients,"Cérémonie officielle de la décharge de deux patients guéris de la MVE, au CTE Lwiro",high,CTE Lwiro
cte-mongbwalu,CTE Mongbwalu,37,1,2026-06-20,pdf_text,operating,,,IPC supplies and medicines delivered,"HGR Mongbwalu, CTE Mongbwalu, CTE Elikya",high,CTE Mongbwalu
cte-rwampara,CTE Rwampara (HGR),37,1,2026-06-20,pdf_text,operating,,,A recovered case still showing signs was taken to the facility,le malade est acheminé au CTE Rwampara,high,CTE Rwampara
cte-munigi,CTE Munigi,38,1,2026-06-21,pdf_text,operating,,,Two escapes from the facility,(4 à KAMI et 2 au CTE Munigi),high,CTE Munigi
cte-cme-bunia,CTE CME Bunia,39,1,2026-06-22,pdf_text,operating,,,56 facility health workers briefed on sexual exploitation and abuse prevention,56 personnels soignants du CTE CME Nyankunde dans la ZS de Rwampara,high,CTE CME
cte-cme-bunia,CTE CME Bunia,40,1,2026-06-23,pdf_text,mention_only,,,Contact tracing support in the area of the facility,recherche de contact dans les AS Rwampara DELE et CTE CME,low,CTE CME
cte-rwampara,CTE Rwampara (HGR),40,1,2026-06-23,pdf_text,operating,,,"Two recovered health workers readmitted, one positive again",Deux (2) PPL guéris ont été réadmis au CTE Rwampara,high,CTE Rwampara
cte-rwampara,CTE Rwampara (HGR),40,1,2026-06-23,pdf_text,expanded,,,Extension works on the facility being followed up,Suivi des travaux d’extension du CTE Rwampara,high,CTE Rwampara
cte-bunia,CTE Bunia (HGR),41,1,2026-06-24,pdf_text,expanded,,,Works on the new CTE at HGR Bunia continue,poursuite des travaux du nouveau CTE à l’HGR/Bunia,high,CTE à l’HGR
cte-elikya,CTE Elikya,41,1,2026-06-24,pdf_text,operating,,,Staff briefed on data reporting,briefing sur le rapportage des données au CTE Elikya,high,CTE Elikya
cte-katwa,CTE Katwa (HGR),41,1,2026-06-24,pdf_text,operating,,,Water supplied to the facility tanks with UNICEF funding,approvisionnement en eau des citernes du CTE Katwa,high,CTE Katwa
cte-rwampara,CTE Rwampara (HGR),41,1,2026-06-24,pdf_text,operating,,,Radio broadcast with testimony of a patient recovered at the facility,témoignage d’un guéri du CTE Rwampara,high,CTE Rwampara
cte-rwampara,CTE Rwampara (HGR),41,1,2026-06-24,pdf_text,expanded,,,Extension works being followed up,"Suivi des travaux d’extension des CTE, notamment Rwampara et HGR/Bunia",high,CTE Rwampara
cte-elikya,CTE Elikya,42,1,2026-06-25,pdf_text,operating,,,Staff briefed on data reporting,briefing sur le rapportage des données au CTE Elikya,high,CTE Elikya
cte-elikya,CTE Elikya,44,1,2026-06-27,pdf_text,operating,,,Two deaths among patients at the facility,2 au CTE Elikya/ZS Bunia,high,CTE Elikya
cte-istm,CTE ISTM,44,1,2026-06-27,pdf_text,operating,,,One death among patients at the facility,1 au CTE ISTM/ZS Rwampara,high,CTE ISTM
cte-komanda,CTE Komanda,44,1,2026-06-27,pdf_text,operating,,,One death among patients at the facility,1 au CTE Komanda et 1 au CTE ISTM/ZS Rwampara,high,CTE Komanda
cte-nyankunde,CTE Nyankunde (HGR),44,1,2026-06-27,pdf_text,operating,,,One death among patients at the facility,"1 au CTE Nyankunde, 1 au CTE Komanda",high,CTE Nyankunde
cte-beni,CTE Beni,46,1,2026-06-29,pdf_text,operating,,,One death among patients at the facility,1 décès dans le CTE Beni au Nord-Kivu,high,CTE Beni
cte-cme-bunia,CTE CME Bunia,46,1,2026-06-29,pdf_text,operating,,,Four deaths among patients at the facility,"4 au CTE CME, 2 au CTE Mongbwalu",high,CTE CME
cte-elikya,CTE Elikya,46,1,2026-06-29,pdf_text,operating,,,Four deaths among patients at the facility,"(4 au CTE Elikya, 4 au CTE CME,",high,CTE Elikya
cte-istm,CTE ISTM,46,1,2026-06-29,pdf_text,operating,,,One death among patients at the facility,1 au CTE ISTM) et 1 décès dans le CTE Beni,high,CTE ISTM
cte-kalunguta,CTE Kalunguta,46,1,2026-06-29,pdf_text,operating,,,One patient recovered at the facility,1 au CTE Kalunguta,high,CTE Kalunguta
cte-katwa,CTE Katwa (HGR),46,1,2026-06-29,pdf_text,operating,,,One patient recovered at the facility,1 au CTE Katwa) ont été déclarés guéris,high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,46,1,2026-06-29,pdf_text,operating,,,Two deaths among patients at the facility,"2 au CTE Mongbwalu, 2 au CTE Nyankunde",high,CTE Mongbwalu
cte-nyankunde,CTE Nyankunde (HGR),46,1,2026-06-29,pdf_text,operating,,,Two deaths among patients at the facility,2 au CTE Nyankunde et 1 au CTE ISTM,high,CTE Nyankunde
cte-rwampara,CTE Rwampara (HGR),46,1,2026-06-29,pdf_text,operating,,,One patient recovered at the facility,"1 au CTE Rwampara, 1 au CTE Elikya",high,CTE Rwampara
ct-bambu,CT Bambu,47,1,2026-06-30,pdf_text,operating,,,One death among patients at the facility,un (1) au CT Bambu,high,CT Bambu
cte-beni,CTE Beni,47,1,2026-06-30,pdf_text,operating,,,51 facility staff trained in case management,Formation de 51 prestataires du CTE Beni sur la prise en charge,high,CTE Beni
cte-bunia,CTE Bunia (HGR),47,1,2026-06-30,pdf_text,operating,,,Five deaths among patients at the facility,dont cinq ( 5) au CTE de Bunia,high,CTE de Bunia
cte-cme-bunia,CTE CME Bunia,47,1,2026-06-30,pdf_text,operating,,,Medicines and IPC supplies delivered to the facility,au CTE CME/Bunia et au laboratoire provincial,high,CTE CME
cte-elikya,CTE Elikya,47,1,2026-06-30,pdf_text,operating,,,Seven patients recovered at the facility,sept (7) au CTE Elikya et quatre (4) au CTE ISTM,high,CTE Elikya
cte-istm,CTE ISTM,47,1,2026-06-30,pdf_text,operating,,,Four patients recovered at the facility,quatre (4) au CTE ISTM,high,CTE ISTM
cte-juhudi,CTE Juhudi,47,1,2026-06-30,pdf_text,operating,,,Safe burial and IPC support for deaths at the facility,décès survenus au CTE de Juhudi dans la ZS Nia-Nia,high,CTE de Juhudi
cte-katwa,CTE Katwa (HGR),47,1,2026-06-30,pdf_text,operating,,,Four deaths among patients at the facility,dont quatre (4) au CTE Katwa,high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,47,1,2026-06-30,pdf_text,operating,,,Six patients recovered at the facility,"Six (6) au CTE Mongbwalu, sept (7) au CTE Elikya",high,CTE Mongbwalu
ct-musienene,CT Musienene,48,1,2026-07-01,pdf_text,operating,,,Suspected case child registered at the facility discharged after two negative tests,L’enfant enregistré au CT Musienene comme cas suspect,high,CT Musienene
cte-beni,CTE Beni,48,1,2026-07-01,pdf_text,operating,,,51 facility staff trained with IMC support,Formation de 51 prestataires du CTE Beni avec appui d’IMC,high,CTE Beni
cte-bunia,CTE Bunia (HGR),48,1,2026-07-01,pdf_text,operating,,,Three deaths among patients at the facility,"(3 au CTE de Bunia,1 au CTE de Mongbwalu",high,CTE de Bunia
cte-cme-bunia,CTE CME Bunia,48,1,2026-07-01,pdf_text,operating,,,Two patients recovered at the facility,2 au CTE CME),high,CTE CME
cte-elikya,CTE Elikya,48,1,2026-07-01,pdf_text,operating,,,Seven patients recovered at the facility,(7 au CTE Elikya,high,CTE Elikya
cte-istm,CTE ISTM,48,1,2026-07-01,pdf_text,operating,,,Four patients recovered at the facility,4 au CTE ISTM et 2 au CTE CME,high,CTE ISTM
cte-katwa,CTE Katwa (HGR),48,1,2026-07-01,pdf_text,operating,,,Two patients recovered at the facility,2 au CTE Katwa dans la province du Nord-Kivu,high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,48,1,2026-07-01,pdf_text,operating,,,Six patients recovered at the facility,"6 au CTE Mongbwalu, 4 au CTE ISTM",high,CTE Mongbwalu
cte-rwampara,CTE Rwampara (HGR),48,1,2026-07-01,pdf_text,operating,,,One death among patients at the facility,1 au CTE Rwampara,high,CTE Rwampara
ct-bambu,CT Bambu,49,1,2026-07-02,pdf_text,operating,,,Two patients recovered at the facility,2 au CT Bambu et 1 au CTE Rwampara,high,CT Bambu
cte-beni,CTE Beni,49,1,2026-07-02,pdf_text,mention_only,,,Guided visit to the facility for youth leaders to counter resistance to patient transfer,Visite guidée au CTE Beni,high,CTE Beni
cte-bunia,CTE Bunia (HGR),49,1,2026-07-02,pdf_text,operating,,,Three patients recovered at the facility,"3 au CTE Bunia, 2 au CT Bambu",high,CTE Bunia
cte-cme-bunia,CTE CME Bunia,49,1,2026-07-02,pdf_text,operating,,,Three patients recovered at the facility,"3 au CTE CME, 3 au CTE Bunia",high,CTE CME
cte-elikya,CTE Elikya,49,1,2026-07-02,pdf_text,expanded,,,Fitting-out works continue with 14 tents available and a laboratory under construction,"Poursuite des travaux d’aménagement du CTE Elikya, avec 14 tentes disponibles",high,CTE Elikya
cte-katwa,CTE Katwa (HGR),49,1,2026-07-02,pdf_text,operating,,,One death among patients at the facility,et du Nord-Kivu (1 au CTE Katwa),high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,49,1,2026-07-02,pdf_text,operating,,,Six deaths among patients at the facility,6 au CTE de Mongbwalu,high,CTE de Mongbwalu
cte-rwampara,CTE Rwampara (HGR),49,1,2026-07-02,pdf_text,operating,,,Two deaths among patients at the facility,2 au CTE de Rwampara,high,CTE de Rwampara
ct-bambu,CT Bambu,50,1,2026-07-03,pdf_text,operating,,,Two patients recovered at the facility,"2 au CT Bambu ,1 au CTE Nyakunde",high,CT Bambu
cte-aru,CTE Aru (HGR),50,1,2026-07-03,pdf_text,operating,,,A validated alert from a point of entry was referred to the facility,l’alerte a été validée et référée au CTE Aru,high,CTE Aru
cte-bunia,CTE Bunia (HGR),50,1,2026-07-03,pdf_text,operating,,,One death among patients at the facility,1 au CTE de Bunia,high,CTE de Bunia
cte-cme-bunia,CTE CME Bunia,50,1,2026-07-03,pdf_text,operating,,,IPC kits delivered to the facility,CTE CME kit PIC 11 colis de 70 kg,high,CTE CME
cte-istm,CTE ISTM,50,1,2026-07-03,pdf_text,operating,,,Three patients recovered at the facility,"(3 au CTE ISTM, 3 au CTE Mongbwalu",high,CTE ISTM
cte-katwa,CTE Katwa (HGR),50,1,2026-07-03,pdf_text,operating,,,Two deaths among patients at the facility,(2 au CTE Katwa),high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,50,1,2026-07-03,pdf_text,operating,,,Three deaths among patients at the facility,"(3 au CTE de Mongbwalu,2 au CTE ISTM",high,CTE de Mongbwalu
cte-nyankunde,CTE Nyankunde (HGR),50,1,2026-07-03,pdf_text,operating,,,One patient recovered at the facility,1 au CTE Nyakunde),high,CTE Nyakunde
cte-rwampara,CTE Rwampara (HGR),50,1,2026-07-03,pdf_text,under_construction,,,Fitting-out works continue at the facility,Poursuite de travaux d'aménagement se poursuivent au : CTE RWAMPARA,high,CTE RWAMPARA
ct-musienene,CT Musienene,51,1,2026-07-04,pdf_text,operating,,,A confirmed health-worker case was transferred from this transit centre,Transfère d’un cas confirmé (PPL) du CT Musienene,high,CT Musienene
cte-beni,CTE Beni,51,1,2026-07-04,pdf_text,opened,,20,Official opening of the facility with 20 beds,Ouverture officielle du CTE Beni avec une capacité de 20 lits,high,CTE Beni
cte-bunia,CTE Bunia (HGR),51,1,2026-07-04,pdf_text,operating,,,Two deaths among patients at the facility,"(2 au CTE Bunia, 2 au CTE de Mongbwalu",high,CTE Bunia
cte-cme-bunia,CTE CME Bunia,51,1,2026-07-04,pdf_text,operating,,,Clinical trials started at the facility,Début des essais cliniques au CTE CME dans la zone de santé de Rwampara,high,CTE CME
cte-elikya,CTE Elikya,51,1,2026-07-04,pdf_text,operating,,,Two deaths among patients at the facility,2 au CTE Elikya et 1 au CTE Komanda,high,CTE Elikya
cte-elikya,CTE Elikya,51,1,2026-07-04,pdf_text,expanded,,,Fitting-out works at the facility continue,aménagement du CTE Elikya,high,CTE Elikya
cte-katwa,CTE Katwa (HGR),51,1,2026-07-04,pdf_text,operating,,,A confirmed health-worker case was transferred to the facility,du CT Musienene vers le CTE Katwa,high,CTE Katwa
cte-komanda,CTE Komanda,51,1,2026-07-04,pdf_text,operating,,,Two patients recovered at the facility,"2 au CTE Komanda, 1 au CTE CME",high,CTE Komanda
cte-mongbwalu,CTE Mongbwalu,51,1,2026-07-04,pdf_text,operating,,,Two deaths among patients at the facility,"2 au CTE de Mongbwalu, 2 au CTE Elikya",high,CTE de Mongbwalu
cte-mongbwalu,CTE Mongbwalu,51,1,2026-07-04,pdf_text,expanded,,,Extension of the facility by at least 50 beds under way,extension du CTE de Mongbwalu d’au moins 50 lits,high,CTE de Mongbwalu
cte-nyankunde,CTE Nyankunde (HGR),51,1,2026-07-04,pdf_text,operating,,,One patient recovered at the facility,1 au CTE Nyankunde),high,CTE Nyankunde
cte-rwampara,CTE Rwampara (HGR),51,1,2026-07-04,pdf_text,operating,,,"A premature baby was born at the facility, where a pregnant woman was also admitted",Un enfant prématuré de 2 300 g est né au CTE Rwampara,high,CTE Rwampara
ct-bambu,CT Bambu,52,1,2026-07-05,pdf_text,operating,,,One death among patients at the facility,1 au CT Bambu). Trois (3) décès,high,CT Bambu
ct-musienene,CT Musienene,52,1,2026-07-05,pdf_text,operating,,,A confirmed health-worker case was transferred from this transit centre,Transfère d’un cas confirmé (PPL) du CT Musienene vers le CTE Katwa,high,CT Musienene
ct-sota,CT Sota,52,1,2026-07-05,pdf_text,operating,,,Three patients recovered at the facility,3 au CT SOTA),high,CT SOTA
cte-bunia,CTE Bunia (HGR),52,1,2026-07-05,pdf_text,operating,,,One death among patients at the facility,1 au CTE Bunia et 1 au CT Bambu,high,CTE Bunia
cte-cme-bunia,CTE CME Bunia,52,1,2026-07-05,pdf_text,operating,,,Four patients recovered at the facility including a 3-month-old child,dont un enfant de 3 mois au CTE CME,high,CTE CME
cte-elikya,CTE Elikya,52,1,2026-07-05,pdf_text,operating,,,Four patients recovered at the facility,"4 au CTE Elikya, 1 au CT Bambu",high,CTE Elikya
cte-elikya,CTE Elikya,52,1,2026-07-05,pdf_text,expanded,,,Fitting-out works at the facility,aménagement du CTE Elikya/Bunia,high,CTE Elikya
cte-katwa,CTE Katwa (HGR),52,1,2026-07-05,pdf_text,operating,,,A confirmed health-worker case was transferred to the facility,du CT Musienene vers le CTE Katwa,high,CTE Katwa
cte-mongbwalu,CTE Mongbwalu,52,1,2026-07-05,pdf_text,operating,,,Two deaths among patients at the facility,"2 au CTE de Mongbwalu, 1 au CTE CME",high,CTE de Mongbwalu
cte-nyankunde,CTE Nyankunde (HGR),52,1,2026-07-05,pdf_text,operating,,,Two deaths among patients at the facility,"(2 au CTE Nyankunde, 2 au CTE de Mongbwalu",high,CTE Nyankunde
cte-rwampara,CTE Rwampara (HGR),52,1,2026-07-05,pdf_text,operating,,,Two patients recovered at the facility,"(2 au CTE Rwampara,",high,CTE Rwampara
cte-rwampara,CTE Rwampara (HGR),52,1,2026-07-05,pdf_text,expanded,,,New building of the facility is operational,nouveau bâtiment du CTE Rwampara opérationnel,high,CTE Rwampara
ct-logo,CT Logo,53,1,2026-07-06,pdf_text,operating,,,Two patients recovered at the facility,2 au CT Logo),high,CT Logo
ct-sota,CT Sota,53,1,2026-07-06,pdf_text,operating,,,One death among patients at the facility,1 au CT Sota),high,CT Sota
cte-beni,CTE Beni,53,1,2026-07-06,pdf_text,operating,,,Two deaths among patients at the facility,"(2 au CTE Beni, 1 au CTE Butembo",high,CTE Beni
cte-bunia,CTE Bunia (HGR),53,1,2026-07-06,pdf_text,operating,,,One death among patients at the facility,1 au CTE Bunia et 1 au CT Sota,high,CTE Bunia
cte-butembo,CTE Butembo,53,1,2026-07-06,pdf_text,operating,,,One death among patients at the facility,1 au CTE Butembo et 1 au CTE Katwa,high,CTE Butembo
cte-cme-bunia,CTE CME Bunia,53,1,2026-07-06,pdf_text,operating,,,One patient recovered at the facility,"(1 au CTE CME, 3 au CTE Mongbwalu",high,CTE CME
cte-istm,CTE ISTM,53,1,2026-07-06,pdf_text,operating,,,Two deaths among patients at the facility,"(2 au CTE ISTM, 1 au CTE de Mongbwalu",high,CTE ISTM
cte-katwa,CTE Katwa (HGR),53,1,2026-07-06,pdf_text,operating,,,A confirmed case escaped before transfer to the facility,Un (1) cas confirmé s’est évadé dans la ZS de Musienene avant son transfert vers le CTE Katwa,high,CTE Katwa
